cnpj;inscricaoestadual;responsavel;email;endereco;telefonefixo;observacao;nome;convenio;empresafora
30.708.583/0001-70;;;;;;;104 VEICULOS EIRELI;false;nao
26.752.709/0001-37;;;;;;;26.752.709/0001-37;false;nao
37.298.682/0001-70;;;;;;;2R PRODUCOES;false;nao
28.833.571/0001-26;;;;;;;3 S CASA DE PRODUTOS NATURAIS LTDA;false;nao
30.387.760/0001-64;;;;;;;3,03878E+13;false;nao
35.541.496/0001-95;;;;;;;35.541.496/0001-95;false;nao
31.960.418/0001-74;;;;;;;47.44-0-05 - COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE;false;nao
33.753.946/0001-88;;;;;;;47.72-5-00 - COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;false;nao
72.190.242/0003-68;;;;;;;72.190.242/0003-68;false;nao
33.128.921/0001-93;;;;;;;A BRASILEIRINHA MODAS;false;nao
32.680.640/0001-86;;;;;;;A DA SILVA VICENTE;false;nao
27.150.281/0001-15;;;;;;;A F DE FREITAS & CIA LTDA;false;nao
27.897.043/0001-78;;;;;;;A G DA SILVA LIMPEZA ME;false;nao
26.113.094/0001-07;;;;;;;A P LIMA EIRELI;false;nao
08.370.437/0001-29;;;;;;;A P SETTI NOGUEIRA EIRELI;false;nao
34.942.368/0001-90;;;;;;;A PRODUTIVA CHOPERIA E CONVENIENCIA LTDA;false;nao
31.420.669/0001-66;;;;;;;A R A AUTORIDADES DE REGISTRO ASSOCIADAS DE CERTIFICACAO DIGITAL LTDA;false;nao
12.784.712/0001-28;;;;;;;A. B. VINHAL ADVOGADOS ASSOCIADOS;false;nao
13.849.110/0001-74;;;;;;;A. E. FORTALEZA DE LIMA;false;nao
20.177.415/0001-42;;;;;;;A. F SILVA PIRES - EIRELI;false;nao
33.558.801/0001-26;;;;;;;ABINADER DISTRIBUIDORA DE MEDICAMENTOS EIRELI;false;nao
26.729.482/0001-09;;;;;;;ABRICA DE SABORES EIRELI;false;nao
02.825.387/0002-21;;;;;;;ABS BOMBAS FERRAMENTAS E MAQUINAS LTDA;false;nao
28.030.907/0001-12;;;;;;;ABSOLUT CENTRO DE ESTETICA EIRELI;false;nao
24.339.164/0001-06;;;;;;;ABSOLUT CENTRO DE ESTETICA EIRELI;false;nao
21.301.451/0001-39;;;;;;;AC TOPOGRAFIA LTDA;false;nao
22.196.556/0001-38;;;;;;;ACAIZEIRO;false;nao
35.069.292/0001-01;;;;;;;ACG - SERVICOS ADMINISTRATIVOS EIRELI;false;nao
28.834.235/0001-06;;;;;;;ACOTINS COMERCIO ATACADISTA DE ACO E FERRO EIRELI;false;nao
10.612.134/0001-17;;;;;;;ACTION BR SOLUCOES EM PROMOCOES LTDA;false;nao
